Profile v. 1.1 Log
Time: 20.11.2011 - 02:27
System: Goma v.2.0.0 - 017 PHP 5.3.3
Profile-Time: 31.978845596313ms
URL: /?profile
Memory-Peak-Usage: 13290K
Times: 

calls   execution time     Memory             name
---------------------------------------------------------------------

1       12.301ms (17.07%)   3302K (25.8602%)    init
1       0.097ms (0.13%)     2K (0.018%)         session
1       6.0599ms (8.41%)    1682K (13.1718%)    core_requires
1       5.7762ms (8.01%)    1608K (12.5911%)    preloads
95      2.0251ms (2.81%)    120K (0.9403%)      Object::__construct
1       5.2991ms (7.35%)    1167K (9.1403%)     loadFramework
1       2.903ms (4.03%)     747K (5.8507%)      classinfo
10      2.2748ms (3.16%)    22K (0.1757%)       resources::Add
92      1.2586ms (1.75%)    92K (0.7185%)       Core::getCMSVar
35      1.148ms (1.59%)     78K (0.6095%)       classinfo::setSaveVars
1       0.0122ms (0.02%)    1K (0.0095%)        autoloader
1       1.2279ms (1.7%)     187K (1.4643%)      Core::Init
1       0.608ms (0.84%)     125K (0.9774%)      i18n::Init
2       0.422ms (0.59%)     136K (1.0637%)      cacher
11      4.199ms (5.83%)     1096K (8.5839%)     Object::instance
1       3.628ms (5.03%)     1114K (8.7235%)     settings
29      0.4771ms (0.66%)    35K (0.273%)        autoloader::load
29      12.3699ms (17.16%)  3845K (30.1194%)    autoloader_require
48      2.4393ms (3.38%)    663K (5.1899%)      DataObject::__construct
306     16.4752ms (22.86%)  1412K (11.0598%)    Object::method_exists
233     5.1162ms (7.1%)     219K (1.7185%)      Object::method_exists after
6       16.4187ms (22.78%)  1078K (8.4413%)     DataObject::getRecords
6       0.1261ms (0.17%)    7K (0.0577%)        getwholedata::hash
7       11.2813ms (15.65%)  1003K (7.8534%)     DataObject::buildExtendedQuery
7       8.491ms (11.78%)    389K (3.0491%)      DataObject::buildQuery
82      16.6509ms (23.1%)   1025K (8.0274%)     DataObject::getOffset
7       1.2474ms (1.73%)    73K (0.5731%)       SelectQuery::build
13      5.3315ms (7.4%)     20K (0.1568%)       sql::query
17      2.9454ms (4.09%)    167K (1.3117%)      DataObject::__cancall
1       37.1909ms (51.6%)   3646K (28.5589%)    render
25      0.7012ms (0.97%)    58K (0.4573%)       request::match
1       7.374ms (10.23%)    335K (2.6201%)      livecounter
15      0.7858ms (1.09%)    50K (0.3909%)       ViewAccessableData::makeObject
3       34.7767ms (48.25%)  2236K (17.5153%)    tpl::parser
6       1.5659ms (2.17%)    27K (0.2124%)       tpl::buildFilesForTemplate
6       0.8931ms (1.24%)    9K (0.0701%)        tplcache
3       34.152ms (47.39%)   2220K (17.391%)     tpl_run
2       0.0248ms (0.03%)    2K (0.0178%)        HTMLNode::html
8       0.5188ms (0.72%)    31K (0.2402%)       ViewAccessableData::getOffset
3       16.5391ms (22.95%)  1252K (9.8073%)     loops
1       24.2851ms (33.7%)   1431K (11.2059%)    serve
2       0.1442ms (0.2%)     11K (0.0852%)       Object::__call
1       0ms (0%)            0K (0%)             DataObject::getAggregate
1       7.288ms (10.11%)    72K (0.5602%)       getBody
1       7.1371ms (9.9%)     64K (0.4997%)       HTMLParser::parseHTML
1       7.0629ms (9.8%)     61K (0.4797%)       Resources::get
1       7.0069ms (9.72%)    51K (0.4025%)       Resources::generateFiles
1       2.965ms (4.11%)     1K (0.0086%)        cssmin::min
======================================================================
        72.0713ms (100%)    12767K              Whole Execution
