Profile v. 1.1 Log
Time: 07.11.2011 - 15:27
System: Goma v.2.0.0 - 016 PHP 5.3.3
Profile-Time: 51.282644271851ms
URL: /?profile
Memory-Peak-Usage: 14455K
Times: 

calls   execution time     Memory             name
---------------------------------------------------------------------

1       28.9481ms (38.15%)  3687K (26.2057%)    init
1       0.0601ms (0.08%)    6K (0.0461%)        session
1       6.3832ms (8.41%)    1640K (11.6543%)    core_requires
1       7.9579ms (10.49%)   2031K (14.4333%)    preloads
83      2.1114ms (2.78%)    114K (0.8134%)      Object::__construct
1       6.0749ms (8.01%)    1326K (9.4225%)     loadFramework
1       3.5222ms (4.64%)    887K (6.3009%)      classinfo
13      3.0513ms (4.02%)    27K (0.1929%)       resources::Add
110     2.8865ms (3.8%)     -48K (-0.3438%)     Core::getCMSVar
34      0.8526ms (1.12%)    60K (0.4243%)       classinfo::setSaveVars
1       0.0141ms (0.02%)    1K (0.0086%)        autoloader
1       1.1001ms (1.45%)    183K (1.3007%)      Core::Init
1       0.638ms (0.84%)     125K (0.8849%)      i18n::Init
2       0.4389ms (0.58%)    135K (0.9626%)      cacher
45      6.017ms (7.93%)     1528K (10.8628%)    Object::instance
1       2.476ms (3.26%)     853K (6.064%)       settings
28      0.4985ms (0.66%)    33K (0.2326%)       autoloader::load
28      12.4097ms (16.35%)  4033K (28.6622%)    autoloader_require
12      1.4014ms (1.85%)    404K (2.8734%)      DataObject::__construct
27      7.689ms (10.13%)    509K (3.6199%)      DataObject::__cancall
344     19.7811ms (26.07%)  2059K (14.6361%)    Object::method_exists
239     5.6801ms (7.49%)    239K (1.6981%)      Object::method_exists after
9       12.31ms (16.22%)    828K (5.8877%)      DataObject::getWholeData
9       0.2184ms (0.29%)    10K (0.0727%)       getwholedata::hash
12      7.3493ms (9.69%)    792K (5.6289%)      DataObject::buildQuery
12      4.885ms (6.44%)     667K (4.7418%)      DataObject::buildSQL
12      0.1657ms (0.22%)    11K (0.0801%)       buildSQL::search
12      1.9808ms (2.61%)    58K (0.4146%)       SelectQuery::build
12      4.9689ms (6.55%)    21K (0.1461%)       sql::query
13      0.4978ms (0.66%)    61K (0.4346%)       DataObject::setENV
126     30.3562ms (40.01%)  2439K (17.332%)     DataObject::getOffset
4       6.1011ms (8.04%)    230K (1.6377%)      DataObject::_count
1       34.8408ms (45.92%)  3861K (27.4447%)    render
25      0.6845ms (0.9%)     54K (0.3859%)       request::match
14      0.603ms (0.79%)     44K (0.3153%)       DataObject::makeObject
1       0.7861ms (1.04%)    219K (1.5577%)      livecounter
5       50.7188ms (66.84%)  3347K (23.7908%)    tpl::parser
8       2.1329ms (2.81%)    36K (0.2554%)       tpl::buildFilesForTemplate
8       1.1697ms (1.54%)    12K (0.0843%)       tplcache
5       50.0088ms (65.91%)  3331K (23.6776%)    tpl_run
2       0.0267ms (0.04%)    2K (0.0162%)        HTMLNode::html
4       28.0001ms (36.9%)   2072K (14.7252%)    loops
1       42.352ms (55.82%)   2404K (17.0869%)    serve
3       0.3569ms (0.47%)    20K (0.1412%)       Object::__call
1       0.1731ms (0.23%)    2K (0.0168%)        classinfo::getChildren
3       0.2222ms (0.29%)    12K (0.0881%)       ViewAccessableData::getOffset
1       0.067ms (0.09%)     5K (0.0324%)        ViewAccessableData::makeObject
1       0.9232ms (1.22%)    36K (0.2534%)       getBody
1       0.7439ms (0.98%)    30K (0.2167%)       HTMLParser::parseHTML
2       0.0391ms (0.05%)    4K (0.025%)         HTMLParser::js
1       0.453ms (0.6%)      13K (0.0947%)       Resources::get
1       0.3879ms (0.51%)    3K (0.0222%)        Resources::generateFiles
======================================================================
        75.8784ms (100%)    14070K              Whole Execution
