Profile v. 1.1 Log
Time: 29.11.2011 - 19:10
System: Goma v.2.0.0 - 017 PHP 5.3.3
Profile-Time: 58.736562728882ms
URL: /?profile
Memory-Peak-Usage: 15624K
Times: 

calls   execution time     Memory             name
---------------------------------------------------------------------

1       12.7501ms (13.86%)  3330K (21.8388%)    init
1       0.0539ms (0.06%)    3K (0.0217%)        session
1       6.2399ms (6.78%)    1674K (10.9798%)    core_requires
1       6.0658ms (6.59%)    1642K (10.7709%)    preloads
81      2.3332ms (2.54%)    109K (0.7179%)      Object::__construct
1       7.5569ms (8.22%)    1546K (10.1412%)    loadFramework
1       4.2808ms (4.65%)    1093K (7.169%)      classinfo
14      4.4112ms (4.8%)     28K (0.1864%)       resources::Add
108     3.8273ms (4.16%)    -31K (-0.2011%)     Core::getCMSVar
37      4.0948ms (4.45%)    226K (1.4822%)      classinfo::setSaveVars
612     38.2938ms (41.63%)  2298K (15.0704%)    Object::method_exists
485     12.5334ms (13.63%)  452K (2.9661%)      Object::method_exists after
31      0.7517ms (0.82%)    52K (0.3409%)       autoloader::load
31      14.1492ms (15.38%)  4289K (28.1272%)    autoloader_require
1       0.0141ms (0.02%)    1K (0.0079%)        autoloader
1       1.4632ms (1.59%)    193K (1.2634%)      Core::Init
1       0.731ms (0.79%)     130K (0.851%)       i18n::Init
2       0.4563ms (0.5%)     136K (0.8906%)      cacher
16      5.4228ms (5.9%)     1197K (7.8531%)     Object::instance
1       4.4122ms (4.8%)     1304K (8.5518%)     settings
19      1.8499ms (2.01%)    477K (3.1267%)      DataObject::__construct
125     27.4553ms (29.85%)  1647K (10.8011%)    DataObject::getOffset
9       17.8008ms (19.35%)  1359K (8.9157%)     DataObject::getRecords
9       0.2377ms (0.26%)    10K (0.0672%)       getwholedata::hash
13      7.6766ms (8.35%)    989K (6.4873%)      DataObject::buildExtendedQuery
13      3.6592ms (3.98%)    326K (2.1398%)      DataObject::buildQuery
13      2.2697ms (2.47%)    97K (0.6352%)       SelectQuery::build
13      6.2633ms (6.81%)    22K (0.146%)        sql::query
30      6.6407ms (7.22%)    294K (1.9292%)      DataObject::__cancall
1       55.898ms (60.77%)   4292K (28.1466%)    render
25      0.6444ms (0.7%)     54K (0.3565%)       request::match
1       0.773ms (0.84%)     213K (1.3982%)      livecounter
5       82.2921ms (89.47%)  4354K (28.5575%)    tpl::parser
8       2.7709ms (3.01%)    36K (0.2354%)       tpl::buildFilesForTemplate
8       1.5464ms (1.68%)    12K (0.0779%)       tplcache
5       81.4559ms (88.56%)  4338K (28.4515%)    tpl_run
3       0.4179ms (0.45%)    6K (0.0381%)        classinfo::getChildren
2       0.0451ms (0.05%)    2K (0.0149%)        HTMLNode::html
14      0.9501ms (1.03%)    52K (0.3381%)       ViewAccessableData::makeObject
42      1.1499ms (1.25%)    70K (0.4592%)       ViewAccessableData::getOffset
4       3.31ms (3.6%)       109K (0.7166%)      DataObject::getAggregate
4       43.8988ms (47.73%)  2632K (17.2621%)    loops
1       54.3511ms (59.09%)  2663K (17.4629%)    serve
1       0.8821ms (0.96%)    29K (0.1895%)       DataObject::getGroupedRecords
1       0.8512ms (0.93%)    36K (0.2368%)       getBody
1       0.69ms (0.75%)      30K (0.1996%)       HTMLParser::parseHTML
2       0.036ms (0.04%)     4K (0.0231%)        HTMLParser::js
1       0.432ms (0.47%)     13K (0.0874%)       Resources::get
1       0.3788ms (0.41%)    3K (0.0205%)        Resources::generateFiles
======================================================================
        91.9824ms (100%)    15247K              Whole Execution
