Profile v. 1.1 Log
Time: 27.11.2011 - 23:24
System: Goma v.2.0.0 - 017 PHP 5.3.3
Profile-Time: 61.058044433594ms
URL: /admin/?profile
Memory-Peak-Usage: 12585K
Times: 

calls   execution time     Memory             name
---------------------------------------------------------------------

1       30.725ms (43.82%)   3291K (26.6674%)    init
1       0.061ms (0.09%)     4K (0.0357%)        session
1       6.3801ms (9.1%)     1662K (13.4671%)    core_requires
1       6.1791ms (8.81%)    1614K (13.0825%)    preloads
184     3.48ms (4.96%)      199K (1.6099%)      Object::__construct
1       6.9251ms (9.88%)    1504K (12.1896%)    loadFramework
1       4.3011ms (6.13%)    1084K (8.7858%)     classinfo
8       2.7189ms (3.88%)    32K (0.2571%)       resources::Add
102     7.5352ms (10.75%)   951K (7.7074%)      Core::getCMSVar
29      0.8271ms (1.18%)    56K (0.4515%)       classinfo::setSaveVars
1       0.0129ms (0.02%)    1K (0.0099%)        autoloader
1       1.476ms (2.1%)      187K (1.5152%)      Core::Init
1       0.7069ms (1.01%)    125K (1.0116%)      i18n::Init
2       0.4959ms (0.71%)    136K (1.1005%)      cacher
18      2.7463ms (3.92%)    668K (5.4111%)      Object::instance
1       3.8569ms (5.5%)     1143K (9.2667%)     settings
23      0.3986ms (0.57%)    27K (0.2178%)       autoloader::load
23      9.7027ms (13.84%)   2321K (18.8078%)    autoloader_require
8       1.2281ms (1.75%)    376K (3.0462%)      DataObject::__construct
459     23.0949ms (32.93%)  1367K (11.0772%)    Object::method_exists
388     7.6458ms (10.9%)    370K (2.9969%)      Object::method_exists after
55      6.6767ms (9.52%)    363K (2.9419%)      DataObject::getOffset
4       6.376ms (9.09%)     582K (4.7161%)      DataObject::getRecords
4       0.0789ms (0.11%)    5K (0.0383%)        getwholedata::hash
13      3.6905ms (5.26%)    326K (2.6451%)      DataObject::buildExtendedQuery
13      3.1638ms (4.51%)    298K (2.4128%)      DataObject::buildQuery
13      1.4832ms (2.12%)    66K (0.5365%)       SelectQuery::build
13      2.9433ms (4.2%)     22K (0.1805%)       sql::query
7       1.1818ms (1.69%)    69K (0.5605%)       DataObject::__cancall
4       0.8039ms (1.15%)    10K (0.0807%)       classinfo::getChildren
1       73.6129ms (104.98%) 4306K (34.9006%)    render
12      0.3734ms (0.53%)    30K (0.2417%)       request::match
25      1.7025ms (2.43%)    99K (0.8055%)       ViewAccessableData::makeObject
1       65.5532ms (93.48%)  3683K (29.8463%)    tpl::parser
1       0.4389ms (0.63%)    6K (0.0454%)        tpl::buildFilesForTemplate
1       0.268ms (0.38%)     2K (0.0142%)        tplcache
1       65.0461ms (92.76%)  3674K (29.7719%)    tpl_run
119     12.228ms (17.44%)   727K (5.8893%)      ViewAccessableData::getOffset
3       57.2221ms (81.6%)   3388K (27.4536%)    loops
10      5.4262ms (7.74%)    202K (1.639%)       DataObject::getAggregate
1       0.061ms (0.09%)     1K (0.0097%)        serve
1       0.7792ms (1.11%)    34K (0.2761%)       getBody
1       0.627ms (0.89%)     29K (0.232%)        HTMLParser::parseHTML
2       0.037ms (0.05%)     4K (0.0284%)        HTMLParser::js
1       0.3729ms (0.53%)    12K (0.0967%)       Resources::get
1       0.3228ms (0.46%)    3K (0.0224%)        Resources::generateFiles
======================================================================
        70.1239ms (100%)    12339K              Whole Execution
