Profile v. 1.1 Log
Time: 30.11.2011 - 16:45
System: Goma v.2.0.0 - 017 PHP 5.3.3
Profile-Time: 41.786670684814ms
URL: /?profile
Memory-Peak-Usage: 14786K
Times: 

calls   execution time     Memory             name
---------------------------------------------------------------------

1       13.5009ms (16.72%)  3267K (22.6847%)    init
1       0.0541ms (0.07%)    4K (0.0304%)        session
1       6.526ms (8.08%)     1683K (11.6842%)    core_requires
1       6.52ms (8.07%)      1570K (10.8998%)    preloads
91      3.4392ms (4.26%)    207K (1.4348%)      Object::__construct
57      2.6245ms (3.25%)    201K (1.3982%)      ClassInfo::setSaveVars
1       5.97ms (7.39%)      1265K (8.7795%)     loadFramework
1       3.3448ms (4.14%)    839K (5.8247%)      classinfo
14      3.4642ms (4.29%)    28K (0.1947%)       resources::Add
108     2.6584ms (3.29%)    -49K (-0.3412%)     Core::getCMSVar
1       0.0191ms (0.02%)    1K (0.0084%)        autoloader
1       1.3921ms (1.72%)    190K (1.3177%)      Core::Init
1       0.658ms (0.81%)     127K (0.8832%)      i18n::Init
2       0.4659ms (0.58%)    138K (0.9589%)      cacher
16      5.3778ms (6.66%)    1250K (8.6806%)     Object::instance
1       4.1409ms (5.13%)    1298K (9.0102%)     settings
30      0.526ms (0.65%)     39K (0.2705%)       autoloader::load
30      13.5589ms (16.79%)  4293K (29.805%)     autoloader_require
19      1.6434ms (2.04%)    476K (3.3025%)      DataObject::__construct
463     23.7994ms (29.47%)  1814K (12.5905%)    Object::method_exists
313     6.9723ms (8.63%)    292K (2.0263%)      Object::method_exists after
181     30.282ms (37.5%)    2249K (15.6131%)    ViewAccessableData::getOffset
9       15.7816ms (19.54%)  1415K (9.8245%)     DataObject::getRecords
9       0.1788ms (0.22%)    10K (0.0711%)       getwholedata::hash
11      8.2929ms (10.27%)   1044K (7.2501%)     DataObject::buildExtendedQuery
11      4.8695ms (6.03%)    402K (2.7898%)      DataObject::buildQuery
11      1.7302ms (2.14%)    89K (0.6179%)       SelectQuery::build
11      5.1947ms (6.43%)    19K (0.1313%)       sql::query
1       42.7361ms (52.92%)  4089K (28.3886%)    render
25      0.6549ms (0.81%)    54K (0.377%)        request::match
1       0.7298ms (0.9%)     209K (1.4536%)      livecounter
5       60.2479ms (74.6%)   4040K (28.0447%)    tpl::parser
8       2.2922ms (2.84%)    36K (0.2509%)       tpl::buildFilesForTemplate
8       1.2589ms (1.56%)    12K (0.0823%)       tplcache
5       59.5741ms (73.77%)  4023K (27.9273%)    tpl_run
3       0.483ms (0.6%)      6K (0.0438%)        classinfo::getChildren
2       0.025ms (0.03%)     2K (0.0158%)        HTMLNode::html
34      1.7672ms (2.19%)    113K (0.7872%)      ViewAccessableData::makeObject
4       32.1ms (39.75%)     2278K (15.8156%)    loops
1       41.5981ms (51.51%)  2432K (16.8871%)    serve
2       2.1498ms (2.66%)    81K (0.5591%)       DataObject::getAggregate
1       1.0509ms (1.3%)     38K (0.2646%)       DataObject::getGroupedRecords
1       0.994ms (1.23%)     38K (0.2665%)       getBody
1       0.7849ms (0.97%)    30K (0.2112%)       HTMLParser::parseHTML
2       0.0389ms (0.05%)    4K (0.0245%)        HTMLParser::js
1       0.51ms (0.63%)      13K (0.0925%)       Resources::get
1       0.4578ms (0.57%)    3K (0.0217%)        Resources::generateFiles
======================================================================
        80.7571ms (100%)    14404K              Whole Execution
