Profile v. 1.1 Log
Time: 30.11.2011 - 16:49
System: Goma v.2.0.0 - 017 PHP 5.3.3
Profile-Time: 57.008743286133ms
URL: /?profile
Memory-Peak-Usage: 15130K
Times: 

calls   execution time     Memory             name
---------------------------------------------------------------------

1       21.0268ms (2.55%)   3272K (22.1931%)    init
1       0.0749ms (0.01%)    4K (0.0297%)        session
1       10.5431ms (1.28%)   1687K (11.4447%)    core_requires
1       9.855ms (1.19%)     1570K (10.6501%)    preloads
95      4.7798ms (0.58%)    211K (1.4286%)      Object::__construct
57      3.7918ms (0.46%)    201K (1.3662%)      ClassInfo::setSaveVars
1       10.0269ms (1.21%)   1265K (8.5776%)     loadFramework
1       5.5339ms (0.67%)    839K (5.6909%)      classinfo
14      3.845ms (0.47%)     28K (0.1904%)       resources::Add
108     2.8505ms (0.35%)    -49K (-0.3328%)     Core::getCMSVar
1       0.025ms (0%)        1K (0.0082%)        autoloader
1       2.315ms (0.28%)     190K (1.2875%)      Core::Init
1       1.065ms (0.13%)     127K (0.8631%)      i18n::Init
2       0.7482ms (0.09%)    138K (0.9369%)      cacher
18      8.2335ms (1%)       1260K (8.55%)       Object::instance
1       7.0701ms (0.86%)    1298K (8.8026%)     settings
30      0.7062ms (0.09%)    39K (0.2644%)       autoloader::load
30      18.9562ms (2.3%)    4294K (29.1233%)    autoloader_require
21      2.804ms (0.34%)     489K (3.3166%)      DataObject::__construct
524     32.1774ms (3.9%)    1926K (13.0654%)    Object::method_exists
338     9.1317ms (1.11%)    315K (2.1384%)      Object::method_exists after
201     40.2448ms (4.88%)   2438K (16.534%)     ViewAccessableData::getOffset
11      22.7075ms (2.75%)   1460K (9.9065%)     DataObject::getRecords
11      0.2937ms (0.04%)    12K (0.0844%)       getwholedata::hash
15      13.4625ms (1.63%)   1133K (7.6847%)     DataObject::buildExtendedQuery
15      8.6102ms (1.04%)    478K (3.2412%)      DataObject::buildQuery
15      2.8443ms (0.34%)    102K (0.6948%)      SelectQuery::build
19      719.6295ms (87.19%) 29K (0.1996%)       sql::query
1       777.209ms (94.16%)  4449K (30.1763%)    render
25      1.1446ms (0.14%)    54K (0.3689%)       request::match
1       727.592ms (88.15%)  572K (3.8821%)      livecounter
4       5.3003ms (0.64%)    152K (1.0288%)      DataObject::getAggregate
3       0.5572ms (0.07%)    6K (0.0411%)        classinfo::getChildren
1       720.5439ms (87.3%)  224K (1.5168%)      DataObject::writeRecord
4       713.181ms (86.4%)   14K (0.0975%)       MySQLi::writeManipulation
5       62.6783ms (7.59%)   4007K (27.1788%)    tpl::parser
8       2.2695ms (0.27%)    36K (0.2434%)       tpl::buildFilesForTemplate
8       1.2081ms (0.15%)    12K (0.0805%)       tplcache
5       61.8739ms (7.5%)    3991K (27.0706%)    tpl::parser Run
2       0.0269ms (0%)       2K (0.0154%)        HTMLNode::html
34      1.9686ms (0.24%)    113K (0.7695%)      ViewAccessableData::makeObject
4       32.8743ms (3.98%)   2237K (15.1713%)    loops
1       43.288ms (5.24%)    2407K (16.3255%)    serve
1       1.056ms (0.13%)     38K (0.2556%)       DataObject::getGroupedRecords
1       0.968ms (0.12%)     38K (0.2606%)       getBody
1       0.721ms (0.09%)     30K (0.2065%)       HTMLParser::parseHTML
2       0.0379ms (0%)       4K (0.0239%)        HTMLParser::js
1       0.4439ms (0.05%)    13K (0.0904%)       Resources::get
1       0.3841ms (0.05%)    3K (0.0212%)        Resources::generateFiles
======================================================================
        825.4044ms (100%)   14743K              Whole Execution
