Profile v. 1.1 Log
Time: 25.11.2011 - 23:39
System: Goma v.2.0.0 - 017 PHP 5.3.3
Profile-Time: 50.516128540039ms
URL: /?profile
Memory-Peak-Usage: 14828K
Times: 

calls   execution time     Memory             name
---------------------------------------------------------------------

1       12.6321ms (14.38%)  3310K (22.9004%)    init
1       0.0551ms (0.06%)    8K (0.0535%)        session
1       6.263ms (7.13%)     1683K (11.6423%)    core_requires
1       5.9481ms (6.77%)    1610K (11.1348%)    preloads
78      2.1656ms (2.46%)    106K (0.7367%)      Object::__construct
1       9.4609ms (10.77%)   1512K (10.4625%)    loadFramework
1       5.0359ms (5.73%)    1092K (7.5569%)     classinfo
14      3.8972ms (4.44%)    28K (0.1966%)       resources::Add
110     3.1426ms (3.58%)    -44K (-0.3026%)     Core::getCMSVar
36      1.447ms (1.65%)     63K (0.4338%)       classinfo::setSaveVars
1       0.0319ms (0.04%)    1K (0.0084%)        autoloader
1       2.3558ms (2.68%)    187K (1.2937%)      Core::Init
1       1.08ms (1.23%)      125K (0.8637%)      i18n::Init
2       0.7489ms (0.85%)    136K (0.9395%)      cacher
17      5.6992ms (6.49%)    1168K (8.0779%)     Object::instance
1       5.9679ms (6.79%)    1136K (7.8611%)     settings
30      0.6962ms (0.79%)    35K (0.2418%)       autoloader::load
30      16.2132ms (18.45%)  4103K (28.3827%)    autoloader_require
17      2.3046ms (2.62%)    453K (3.1321%)      DataObject::__construct
482     30.2067ms (34.38%)  1945K (13.4528%)    Object::method_exists
378     9.8469ms (11.21%)   360K (2.4927%)      Object::method_exists after
130     24.173ms (27.51%)   1533K (10.6087%)    DataObject::getOffset
9       16.3615ms (18.62%)  1310K (9.0625%)     DataObject::getRecords
9       0.2377ms (0.27%)    10K (0.0709%)       getwholedata::hash
13      7.2324ms (8.23%)    935K (6.4701%)      DataObject::buildExtendedQuery
13      3.6621ms (4.17%)    309K (2.1383%)      DataObject::buildQuery
13      2.1765ms (2.48%)    88K (0.6094%)       SelectQuery::build
13      6.0253ms (6.86%)    22K (0.1543%)       sql::query
19      4.5991ms (5.23%)    185K (1.2782%)      DataObject::__cancall
1       44.349ms (50.47%)   4052K (28.029%)     render
25      0.6826ms (0.78%)    58K (0.404%)        request::match
1       4.976ms (5.66%)     360K (2.4914%)      livecounter
4       66.1051ms (75.23%)  4138K (28.6239%)    DataObject::getAggregate
45      2.3365ms (2.66%)    117K (0.8072%)      ViewAccessableData::getOffset
5       58.46ms (66.53%)    3810K (26.359%)     tpl::parser
8       2.0721ms (2.36%)    36K (0.2483%)       tpl::buildFilesForTemplate
8       1.1241ms (1.28%)    12K (0.0822%)       tplcache
5       57.8201ms (65.8%)   3794K (26.2488%)    tpl_run
2       0.0293ms (0.03%)    2K (0.0157%)        HTMLNode::html
15      0.8111ms (0.92%)    51K (0.3502%)       ViewAccessableData::makeObject
4       30.2808ms (34.46%)  2099K (14.5192%)    loops
1       41.791ms (47.56%)   2351K (16.2679%)    serve
3       0.2964ms (0.34%)    21K (0.1455%)       Object::__call
1       0.782ms (0.89%)     26K (0.1802%)       DataObject::getGroupedRecords
1       0.875ms (1%)        36K (0.2496%)       getBody
1       0.6981ms (0.79%)    30K (0.2104%)       HTMLParser::parseHTML
2       0.036ms (0.04%)     4K (0.0243%)        HTMLParser::js
1       0.423ms (0.48%)     13K (0.0922%)       Resources::get
1       0.3691ms (0.42%)    3K (0.0216%)        Resources::generateFiles
======================================================================
        87.8689ms (100%)    14455K              Whole Execution
