Profile v. 1.1 Log
Time: 30.11.2011 - 16:15
System: Goma v.2.0.0 - 017 PHP 5.3.3
Profile-Time: 42.915821075439ms
URL: /?profile
Memory-Peak-Usage: 15014K
Times: 

calls   execution time     Memory             name
---------------------------------------------------------------------

1       13.1919ms (15.57%)  3261K (22.2857%)    init
1       0.052ms (0.06%)     3K (0.0226%)        session
1       6.6912ms (7.9%)     1681K (11.4899%)    core_requires
1       6.0639ms (7.16%)    1566K (10.7039%)    preloads
91      3.6044ms (4.25%)    207K (1.4141%)      Object::__construct
57      2.6343ms (3.11%)    196K (1.339%)       classinfo::setSaveVars
1       6.9869ms (8.25%)    1516K (10.3603%)    loadFramework
1       4.1511ms (4.9%)     1090K (7.4517%)     classinfo
14      3.6111ms (4.26%)    28K (0.1916%)       resources::Add
108     2.7688ms (3.27%)    -56K (-0.3853%)     Core::getCMSVar
1       0.0141ms (0.02%)    1K (0.0083%)        autoloader
1       1.6172ms (1.91%)    190K (1.2981%)      Core::Init
1       0.7119ms (0.84%)    127K (0.8701%)      i18n::Init
2       0.5102ms (0.6%)     138K (0.9439%)      cacher
16      5.8246ms (6.88%)    1246K (8.5187%)     Object::instance
1       5.2259ms (6.17%)    1298K (8.8695%)     settings
30      0.5414ms (0.64%)    35K (0.2388%)       autoloader::load
30      15.0101ms (17.72%)  4293K (29.345%)     autoloader_require
19      1.8299ms (2.16%)    476K (3.251%)       DataObject::__construct
463     24.1377ms (28.49%)  1808K (12.3546%)    Object::method_exists
313     7.1251ms (8.41%)    292K (1.9951%)      Object::method_exists after
181     31.3396ms (37%)     2247K (15.3594%)    ViewAccessableData::getOffset
9       17.3299ms (20.46%)  1420K (9.7057%)     DataObject::getRecords
9       0.2072ms (0.24%)    10K (0.07%)         getwholedata::hash
11      9.0814ms (10.72%)   1050K (7.1767%)     DataObject::buildExtendedQuery
11      5.5861ms (6.59%)    408K (2.7857%)      DataObject::buildQuery
11      1.7653ms (2.08%)    89K (0.609%)        SelectQuery::build
11      5.6477ms (6.67%)    19K (0.129%)        sql::query
5       0.8731ms (1.03%)    10K (0.0711%)       classinfo::getChildren
1       44.487ms (52.52%)   4082K (27.8972%)    render
25      0.7129ms (0.84%)    54K (0.3711%)       request::match
1       0.7882ms (0.93%)    210K (1.4323%)      livecounter
5       62.5699ms (73.86%)  4035K (27.581%)     tpl::parser
8       2.4319ms (2.87%)    36K (0.2453%)       tpl::buildFilesForTemplate
8       1.3423ms (1.58%)    12K (0.0811%)       tplcache
5       61.887ms (73.06%)   4019K (27.4705%)    tpl_run
2       0.0253ms (0.03%)    2K (0.0155%)        HTMLNode::html
34      1.6258ms (1.92%)    109K (0.7469%)      ViewAccessableData::makeObject
4       32.0966ms (37.89%)  2264K (15.4708%)    loops
1       42.031ms (49.62%)   2421K (16.5478%)    serve
2       2.1698ms (2.56%)    81K (0.5503%)       DataObject::getAggregate
1       1.1921ms (1.41%)    38K (0.2608%)       DataObject::getGroupedRecords
1       0.984ms (1.16%)     38K (0.2625%)       getBody
1       0.7498ms (0.89%)    30K (0.208%)        HTMLParser::parseHTML
2       0.0379ms (0.04%)    4K (0.0241%)        HTMLParser::js
1       0.4621ms (0.55%)    13K (0.091%)        Resources::get
1       0.407ms (0.48%)     3K (0.0214%)        Resources::generateFiles
======================================================================
        84.7101ms (100%)    14631K              Whole Execution
