Profile v. 1.1 Log
Time: 30.11.2011 - 16:49
System: Goma v.2.0.0 - 017 PHP 5.3.3
Profile-Time: 59.454202651978ms
URL: /?profile
Memory-Peak-Usage: 14790K
Times: 

calls   execution time     Memory             name
---------------------------------------------------------------------

1       19.6021ms (17.57%)  3272K (22.7078%)    init
1       0.052ms (0.05%)     4K (0.0304%)        session
1       11.4291ms (10.24%)  1687K (11.7097%)    core_requires
1       7.4539ms (6.68%)    1570K (10.8974%)    preloads
91      4.8847ms (4.38%)    207K (1.4348%)      Object::__construct
57      4.2133ms (3.78%)    201K (1.398%)       ClassInfo::setSaveVars
1       9.521ms (8.53%)     1265K (8.7768%)     loadFramework
1       4.4351ms (3.97%)    839K (5.8232%)      classinfo
14      4.909ms (4.4%)      28K (0.1947%)       resources::Add
108     3.1168ms (2.79%)    -49K (-0.3408%)     Core::getCMSVar
1       0.0131ms (0.01%)    1K (0.0084%)        autoloader
1       2.255ms (2.02%)     190K (1.3176%)      Core::Init
1       1.0071ms (0.9%)     127K (0.8831%)      i18n::Init
2       0.7322ms (0.66%)    138K (0.9586%)      cacher
16      7.6149ms (6.82%)    1250K (8.6783%)     Object::instance
1       6.2511ms (5.6%)     1298K (9.0074%)     settings
30      0.7904ms (0.71%)    39K (0.2706%)       autoloader::load
30      18.9762ms (17.01%)  4293K (29.7956%)    autoloader_require
19      2.6038ms (2.33%)    476K (3.3016%)      DataObject::__construct
463     33.735ms (30.23%)   1814K (12.5869%)    Object::method_exists
313     9.5077ms (8.52%)    292K (2.0259%)      Object::method_exists after
181     40.9331ms (36.68%)  2249K (15.6088%)    ViewAccessableData::getOffset
9       24.2224ms (21.71%)  1415K (9.8216%)     DataObject::getRecords
9       0.3562ms (0.32%)    10K (0.0711%)       getwholedata::hash
11      11.7798ms (10.56%)  1044K (7.2477%)     DataObject::buildExtendedQuery
11      6.5393ms (5.86%)    402K (2.7887%)      DataObject::buildQuery
11      2.4767ms (2.22%)    89K (0.6177%)       SelectQuery::build
11      7.7851ms (6.98%)    19K (0.1312%)       sql::query
1       62.0298ms (55.59%)  4089K (28.3803%)    render
25      1.3924ms (1.25%)    54K (0.3767%)       request::match
1       1.3759ms (1.23%)    209K (1.453%)       livecounter
5       74.2986ms (66.58%)  4040K (28.0362%)    tpl::parser
8       3.2101ms (2.88%)    36K (0.2507%)       tpl::buildFilesForTemplate
8       1.7858ms (1.6%)     12K (0.0824%)       tplcache
5       73.3249ms (65.71%)  4023K (27.9185%)    tpl::parser Run
3       0.4342ms (0.39%)    6K (0.0438%)        classinfo::getChildren
2       0.0541ms (0.05%)    2K (0.0158%)        HTMLNode::html
34      2.1811ms (1.95%)    113K (0.787%)       ViewAccessableData::makeObject
4       37.0891ms (33.24%)  2278K (15.8115%)    loops
1       46.6361ms (41.79%)  2432K (16.8822%)    serve
2       2.49ms (2.23%)      81K (0.5588%)       DataObject::getAggregate
1       1.2941ms (1.16%)    38K (0.2645%)       DataObject::getGroupedRecords
1       0.9708ms (0.87%)    38K (0.2664%)       getBody
1       0.7501ms (0.67%)    30K (0.2111%)       HTMLParser::parseHTML
2       0.0451ms (0.04%)    4K (0.0244%)        HTMLParser::js
1       0.4659ms (0.42%)    13K (0.0925%)       Resources::get
1       0.4129ms (0.37%)    3K (0.0217%)        Resources::generateFiles
======================================================================
        111.5887ms (100%)   14408K              Whole Execution
