Profile v. 1.1 Log
Time: 20.11.2011 - 10:57
System: Goma v.2.0.0 - 017 PHP 5.3.3
Profile-Time: 37.166833877563ms
URL: /?profile
Memory-Peak-Usage: 13825K
Times: 

calls   execution time     Memory             name
---------------------------------------------------------------------

1       13.1621ms (17.58%)  3292K (24.7829%)    init
1       0.0479ms (0.06%)    3K (0.0258%)        session
1       6.5911ms (8.8%)     1682K (12.6598%)    core_requires
1       6.114ms (8.17%)     1597K (12.0212%)    preloads
103     2.274ms (3.04%)     129K (0.9719%)      Object::__construct
1       5.6901ms (7.6%)     1169K (8.8035%)     loadFramework
1       3.149ms (4.21%)     749K (5.6413%)      classinfo
10      2.4049ms (3.21%)    22K (0.1644%)       resources::Add
106     1.5478ms (2.07%)    96K (0.7259%)       Core::getCMSVar
35      0.9172ms (1.23%)    62K (0.4648%)       classinfo::setSaveVars
1       0.0129ms (0.02%)    1K (0.0091%)        autoloader
1       1.426ms (1.9%)      187K (1.4074%)      Core::Init
1       0.644ms (0.86%)     125K (0.9397%)      i18n::Init
2       0.4501ms (0.6%)     136K (1.0225%)      cacher
13      4.5097ms (6.02%)    1106K (8.3249%)     Object::instance
1       4.0171ms (5.37%)    1116K (8.4048%)     settings
29      0.5705ms (0.76%)    35K (0.2626%)       autoloader::load
29      13.716ms (18.32%)   4060K (30.5626%)    autoloader_require
51      2.7771ms (3.71%)    679K (5.1138%)      DataObject::__construct
349     19.5596ms (26.13%)  1549K (11.6636%)    Object::method_exists
262     6.3751ms (8.52%)    262K (1.9759%)      Object::method_exists after
6       12.2962ms (16.42%)  1025K (7.7149%)     DataObject::getRecords
6       0.1264ms (0.17%)    7K (0.0555%)        getwholedata::hash
8       12.4803ms (16.67%)  1024K (7.7105%)     DataObject::buildExtendedQuery
8       9.3477ms (12.49%)   409K (3.0803%)      DataObject::buildQuery
85      21.5113ms (28.73%)  1638K (12.3345%)    DataObject::getOffset
8       1.4544ms (1.94%)    74K (0.5591%)       SelectQuery::build
14      5.8596ms (7.83%)    22K (0.1635%)       sql::query
18      3.3429ms (4.47%)    177K (1.336%)       DataObject::__cancall
1       31.5669ms (42.16%)  3309K (24.9103%)    render
25      0.6742ms (0.9%)     58K (0.4382%)       request::match
5       50.4143ms (67.34%)  3372K (25.3882%)    tpl::parser
8       2.2779ms (3.04%)    36K (0.2716%)       tpl::buildFilesForTemplate
8       1.2949ms (1.73%)    12K (0.0894%)       tplcache
5       49.7649ms (66.47%)  3355K (25.2608%)    tpl_run
2       0.0291ms (0.04%)    2K (0.0171%)        HTMLNode::html
18      1.3719ms (1.83%)    72K (0.5413%)       ViewAccessableData::getOffset
12      0.6769ms (0.9%)     41K (0.3103%)       ViewAccessableData::makeObject
4       27.5161ms (36.75%)  1938K (14.5894%)    loops
1       41.9259ms (56%)     2335K (17.5773%)    serve
3       0.2632ms (0.35%)    21K (0.1585%)       Object::__call
2       11.1609ms (14.91%)  970K (7.3048%)      DataObject::getAggregate
1       0.546ms (0.73%)     24K (0.177%)        getBody
1       0.3881ms (0.52%)    16K (0.1194%)       HTMLParser::parseHTML
1       0.2952ms (0.39%)    12K (0.0905%)       Resources::get
1       0.237ms (0.32%)     2K (0.0182%)        Resources::generateFiles
======================================================================
        74.8651ms (100%)    13283K              Whole Execution
