Profile v. 1.1 Log
Time: 25.11.2011 - 23:39
System: Goma v.2.0.0 - 017 PHP 5.3.3
Profile-Time: 44.98291015625ms
URL: /?profile
Memory-Peak-Usage: 14832K
Times: 

calls   execution time     Memory             name
---------------------------------------------------------------------

1       17.627ms (19.49%)   3310K (22.8935%)    init
1       0.087ms (0.1%)      8K (0.0535%)        session
1       7.1099ms (7.86%)    1683K (11.6385%)    core_requires
1       6.6841ms (7.39%)    1610K (11.1316%)    preloads
78      2.0192ms (2.23%)    106K (0.7363%)      Object::__construct
1       7.8819ms (8.71%)    1512K (10.4591%)    loadFramework
1       5.0359ms (5.57%)    1092K (7.5544%)     classinfo
14      3.5517ms (3.93%)    28K (0.1963%)       resources::Add
110     3.02ms (3.34%)      -36K (-0.247%)      Core::getCMSVar
36      1.0302ms (1.14%)    63K (0.4343%)       classinfo::setSaveVars
1       0.0131ms (0.01%)    1K (0.0084%)        autoloader
1       1.5321ms (1.69%)    187K (1.2932%)      Core::Init
1       0.7091ms (0.78%)    125K (0.8633%)      i18n::Init
2       0.509ms (0.56%)     136K (0.939%)       cacher
17      5.1677ms (5.71%)    1168K (8.0751%)     Object::instance
1       4.0419ms (4.47%)    1136K (7.8587%)     settings
30      0.5777ms (0.64%)    35K (0.2416%)       autoloader::load
30      14.9615ms (16.54%)  4103K (28.3744%)    autoloader_require
17      1.8208ms (2.01%)    453K (3.131%)       DataObject::__construct
483     26.7377ms (29.56%)  1954K (13.512%)     Object::method_exists
378     8.3885ms (9.27%)    353K (2.438%)       Object::method_exists after
130     22.2373ms (24.58%)  1525K (10.5499%)    DataObject::getOffset
9       15.4519ms (17.08%)  1310K (9.0596%)     DataObject::getRecords
9       0.2198ms (0.24%)    10K (0.0708%)       getwholedata::hash
13      6.5911ms (7.29%)    951K (6.5784%)      DataObject::buildExtendedQuery
13      2.9175ms (3.23%)    309K (2.1376%)      DataObject::buildQuery
13      2.0409ms (2.26%)    88K (0.6092%)       SelectQuery::build
13      6.2826ms (6.95%)    22K (0.1544%)       sql::query
19      3.5419ms (3.92%)    185K (1.2775%)      DataObject::__cancall
1       45.3899ms (50.18%)  4056K (28.0511%)    render
25      0.7377ms (0.82%)    58K (0.4026%)       request::match
1       5.1019ms (5.64%)    365K (2.5215%)      livecounter
4       67.62ms (74.75%)    4142K (28.646%)     DataObject::getAggregate
46      2.2979ms (2.54%)    118K (0.8143%)      ViewAccessableData::getOffset
5       59.4049ms (65.67%)  3810K (26.3513%)    tpl::parser
8       2.3882ms (2.64%)    36K (0.2482%)       tpl::buildFilesForTemplate
8       1.2918ms (1.43%)    12K (0.0821%)       tplcache
5       58.5573ms (64.73%)  3794K (26.2412%)    tpl_run
2       0.0269ms (0.03%)    2K (0.0157%)        HTMLNode::html
15      0.8063ms (0.89%)    51K (0.3497%)       ViewAccessableData::makeObject
4       29.7511ms (32.89%)  2099K (14.5149%)    loops
1       42.4321ms (46.91%)  2352K (16.2632%)    serve
3       0.2751ms (0.3%)     21K (0.1455%)       Object::__call
1       0.7432ms (0.82%)    26K (0.1801%)       DataObject::getGroupedRecords
1       0.916ms (1.01%)     36K (0.2495%)       getBody
1       0.725ms (0.8%)      30K (0.2103%)       HTMLParser::parseHTML
2       0.0372ms (0.04%)    4K (0.0244%)        HTMLParser::js
1       0.4442ms (0.49%)    13K (0.0921%)       Resources::get
1       0.391ms (0.43%)     3K (0.0216%)        Resources::generateFiles
======================================================================
        90.4601ms (100%)    14459K              Whole Execution
