Profile v. 1.1 Log
Time: 25.11.2011 - 23:43
System: Goma v.2.0.0 - 017 PHP 5.3.3
Profile-Time: 45.568704605103ms
URL: /?profile
Memory-Peak-Usage: 14970K
Times: 

calls   execution time     Memory             name
---------------------------------------------------------------------

1       12.814ms (7.53%)    3313K (22.6764%)    init
1       0.0598ms (0.04%)    8K (0.0529%)        session
1       6.3322ms (3.72%)    1686K (11.5375%)    core_requires
1       6.0489ms (3.56%)    1610K (11.0168%)    preloads
80      2.0123ms (1.18%)    108K (0.7423%)      Object::__construct
1       7.5769ms (4.45%)    1512K (10.3509%)    loadFramework
1       4.849ms (2.85%)     1092K (7.4762%)     classinfo
14      3.1219ms (1.83%)    28K (0.1946%)       resources::Add
110     3.0644ms (1.8%)     -46K (-0.313%)      Core::getCMSVar
36      0.9608ms (0.56%)    63K (0.4297%)       classinfo::setSaveVars
1       0.0141ms (0.01%)    1K (0.0083%)        autoloader
1       1.5168ms (0.89%)    187K (1.2798%)      Core::Init
1       0.721ms (0.42%)     125K (0.8543%)      i18n::Init
2       0.4864ms (0.29%)    136K (0.9293%)      cacher
17      4.4584ms (2.62%)    1168K (7.9944%)     Object::instance
1       3.6912ms (2.17%)    1136K (7.7774%)     settings
30      0.5131ms (0.3%)     35K (0.2393%)       autoloader::load
30      12.7852ms (7.51%)   4105K (28.0984%)    autoloader_require
19      1.5738ms (0.92%)    466K (3.1896%)      DataObject::__construct
498     26.6001ms (15.63%)  2002K (13.7022%)    Object::method_exists
389     8.7233ms (5.13%)    387K (2.647%)       Object::method_exists after
142     22.9826ms (13.51%)  1610K (11.0207%)    DataObject::getOffset
10      14.0798ms (8.28%)   1315K (8.9984%)     DataObject::getRecords
10      0.2036ms (0.12%)    11K (0.0776%)       getwholedata::hash
14      6.0041ms (3.53%)    944K (6.4586%)      DataObject::buildExtendedQuery
14      2.861ms (1.68%)     315K (2.1586%)      DataObject::buildQuery
14      1.9615ms (1.15%)    95K (0.6506%)       SelectQuery::build
18      8.769ms (5.15%)     28K (0.19%)         sql::query
19      3.4454ms (2.02%)    189K (1.2918%)      DataObject::__cancall
1       46.6392ms (27.41%)  4189K (28.6715%)    render
25      0.6692ms (0.39%)    58K (0.3985%)       request::match
1       10.7498ms (6.32%)   497K (3.4014%)      livecounter
4       68.9521ms (40.53%)  4274K (29.2536%)    DataObject::getAggregate
1       7.7939ms (4.58%)    202K (1.3804%)      DataObject::writeRecord
4       3.6323ms (2.13%)    14K (0.0943%)       MySQLi::writeManipulation
5       55.9349ms (32.87%)  3805K (26.045%)     tpl::parser
8       2.0833ms (1.22%)    36K (0.2458%)       tpl::buildFilesForTemplate
8       1.164ms (0.68%)     12K (0.0813%)       tplcache
5       55.2769ms (32.49%)  3789K (25.9362%)    tpl_run
2       0.025ms (0.01%)     2K (0.0156%)        HTMLNode::html
15      0.7746ms (0.46%)    51K (0.3463%)       ViewAccessableData::makeObject
44      1.3394ms (0.79%)    81K (0.5541%)       ViewAccessableData::getOffset
4       29.4523ms (17.31%)  2081K (14.2443%)    loops
1       40.925ms (24.05%)   2355K (16.1215%)    serve
3       0.2718ms (0.16%)    21K (0.1441%)       Object::__call
1       0.8922ms (0.52%)    26K (0.1784%)       DataObject::getGroupedRecords
1       0.8841ms (0.52%)    40K (0.2761%)       getBody
1       0.71ms (0.42%)      35K (0.2374%)       HTMLParser::parseHTML
2       0.0379ms (0.02%)    4K (0.0241%)        HTMLParser::js
1       0.437ms (0.26%)     13K (0.0912%)       Resources::get
1       0.3829ms (0.23%)    3K (0.0214%)        Resources::generateFiles
======================================================================
        170.1453ms (100%)   14611K              Whole Execution
