Profile v. 1.1 Log
Time: 29.11.2011 - 19:05
System: Goma v.2.0.0 - 017 PHP 5.3.3
Profile-Time: 49.859762191772ms
URL: /?profile
Memory-Peak-Usage: 15592K
Times: 

calls   execution time     Memory             name
---------------------------------------------------------------------

1       12.722ms (15.18%)   3313K (21.7742%)    init
1       0.0548ms (0.07%)    3K (0.0218%)        session
1       6.2802ms (7.49%)    1674K (11.0043%)    core_requires
1       6.012ms (7.17%)     1625K (10.6816%)    preloads
81      2.023ms (2.41%)     109K (0.7188%)      Object::__construct
1       7.237ms (8.63%)     1546K (10.1629%)    loadFramework
1       4.0481ms (4.83%)    1093K (7.1841%)     classinfo
14      3.3343ms (3.98%)    28K (0.1866%)       resources::Add
108     3.1843ms (3.8%)     -31K (-0.2018%)     Core::getCMSVar
37      3.6373ms (4.34%)    211K (1.3853%)      classinfo::setSaveVars
612     33.2508ms (39.67%)  2298K (15.1024%)    Object::method_exists
485     10.6223ms (12.67%)  452K (2.9716%)      Object::method_exists after
31      0.634ms (0.76%)     52K (0.3417%)       autoloader::load
31      14.4732ms (17.27%)  4289K (28.1856%)    autoloader_require
1       0.0141ms (0.02%)    1K (0.008%)         autoloader
1       1.492ms (1.78%)     193K (1.2662%)      Core::Init
1       0.7191ms (0.86%)    130K (0.853%)       i18n::Init
2       0.453ms (0.54%)     136K (0.8926%)      cacher
16      5.1463ms (6.14%)    1192K (7.8361%)     Object::instance
1       4.1938ms (5%)       1304K (8.5696%)     settings
19      1.7474ms (2.08%)    477K (3.1333%)      DataObject::__construct
125     22.6686ms (27.04%)  1643K (10.7951%)    DataObject::getOffset
9       15.3899ms (18.36%)  1358K (8.9261%)     DataObject::getRecords
9       0.2022ms (0.24%)    10K (0.0673%)       getwholedata::hash
13      7.4558ms (8.9%)     989K (6.5006%)      DataObject::buildExtendedQuery
13      3.4542ms (4.12%)    326K (2.144%)       DataObject::buildQuery
13      1.946ms (2.32%)     97K (0.6364%)       SelectQuery::build
13      5.7199ms (6.82%)    22K (0.1465%)       sql::query
30      5.5621ms (6.64%)    294K (1.9333%)      DataObject::__cancall
1       46.7131ms (55.73%)  4287K (28.1721%)    render
25      0.6757ms (0.81%)    54K (0.3573%)       request::match
1       0.9079ms (1.08%)    213K (1.4011%)      livecounter
5       67.977ms (81.1%)    4346K (28.5631%)    tpl::parser
8       2.255ms (2.69%)     36K (0.2359%)       tpl::buildFilesForTemplate
8       1.2383ms (1.48%)    12K (0.078%)        tplcache
5       67.2996ms (80.29%)  4330K (28.457%)     tpl_run
3       0.4129ms (0.49%)    6K (0.0383%)        classinfo::getChildren
2       0.0288ms (0.03%)    2K (0.015%)         HTMLNode::html
14      0.8273ms (0.99%)    52K (0.3388%)       ViewAccessableData::makeObject
42      1.087ms (1.3%)      70K (0.4602%)       ViewAccessableData::getOffset
4       3.1793ms (3.79%)    109K (0.7181%)      DataObject::getAggregate
4       40.0431ms (47.77%)  2625K (17.2524%)    loops
1       46.9141ms (55.97%)  2656K (17.4535%)    serve
1       0.8972ms (1.07%)    29K (0.19%)         DataObject::getGroupedRecords
1       0.8941ms (1.07%)    36K (0.2373%)       getBody
1       0.7231ms (0.86%)    30K (0.2%)          HTMLParser::parseHTML
2       0.037ms (0.04%)     4K (0.0231%)        HTMLParser::js
1       0.4311ms (0.51%)    13K (0.0876%)       Resources::get
1       0.3741ms (0.45%)    3K (0.0205%)        Resources::generateFiles
======================================================================
        83.8182ms (100%)    15215K              Whole Execution
