Profile v. 1.1 Log
Time: 25.11.2011 - 23:39
System: Goma v.2.0.0 - 017 PHP 5.3.3
Profile-Time: 47.206163406372ms
URL: /?profile
Memory-Peak-Usage: 14827K
Times: 

calls   execution time     Memory             name
---------------------------------------------------------------------

1       14.0049ms (16.87%)  3310K (22.9003%)    init
1       0.0539ms (0.06%)    8K (0.0535%)        session
1       7.0181ms (8.45%)    1683K (11.6422%)    core_requires
1       6.5229ms (7.86%)    1610K (11.1347%)    preloads
78      2.0025ms (2.41%)    106K (0.7365%)      Object::__construct
1       6.999ms (8.43%)     1512K (10.4624%)    loadFramework
1       4.2892ms (5.17%)    1092K (7.5568%)     classinfo
14      3.88ms (4.67%)      28K (0.1965%)       resources::Add
110     3.0532ms (3.68%)    -44K (-0.3022%)     Core::getCMSVar
36      1.0056ms (1.21%)    63K (0.434%)        classinfo::setSaveVars
1       0.0138ms (0.02%)    1K (0.0084%)        autoloader
1       1.5359ms (1.85%)    187K (1.2931%)      Core::Init
1       0.685ms (0.83%)     125K (0.8634%)      i18n::Init
2       0.4838ms (0.58%)    136K (0.9394%)      cacher
17      4.8139ms (5.8%)     1168K (8.0778%)     Object::instance
1       3.792ms (4.57%)     1136K (7.8611%)     settings
30      0.5834ms (0.7%)     35K (0.2419%)       autoloader::load
30      14.2477ms (17.16%)  4103K (28.3835%)    autoloader_require
17      1.6727ms (2.02%)    453K (3.1318%)      DataObject::__construct
482     27.7438ms (33.42%)  1945K (13.4532%)    Object::method_exists
378     8.7423ms (10.53%)   360K (2.4936%)      Object::method_exists after
130     23.2592ms (28.02%)  1533K (10.6087%)    DataObject::getOffset
9       14.6582ms (17.66%)  1310K (9.0628%)     DataObject::getRecords
9       0.1893ms (0.23%)    10K (0.071%)        getwholedata::hash
13      6.4027ms (7.71%)    935K (6.47%)        DataObject::buildExtendedQuery
13      2.8946ms (3.49%)    309K (2.1385%)      DataObject::buildQuery
13      1.8818ms (2.27%)    88K (0.6092%)       SelectQuery::build
13      5.3134ms (6.4%)     22K (0.1543%)       sql::query
19      3.4509ms (4.16%)    185K (1.2782%)      DataObject::__cancall
1       44.924ms (54.12%)   4052K (28.0299%)    render
25      0.6676ms (0.8%)     58K (0.4034%)       request::match
1       4.885ms (5.88%)     360K (2.4917%)      livecounter
4       68.964ms (83.08%)   4138K (28.6244%)    DataObject::getAggregate
45      2.4514ms (2.95%)    117K (0.8072%)      ViewAccessableData::getOffset
5       61.2202ms (73.75%)  3810K (26.3592%)    tpl::parser
8       2.7509ms (3.31%)    36K (0.2485%)       tpl::buildFilesForTemplate
8       1.5383ms (1.85%)    12K (0.082%)        tplcache
5       60.2911ms (72.63%)  3794K (26.249%)     tpl_run
2       0.0293ms (0.04%)    2K (0.0158%)        HTMLNode::html
15      0.771ms (0.93%)     51K (0.35%)         ViewAccessableData::makeObject
4       31.038ms (37.39%)   2099K (14.519%)     loops
1       44.044ms (53.06%)   2351K (16.2676%)    serve
3       0.2801ms (0.34%)    21K (0.1455%)       Object::__call
1       0.7401ms (0.89%)    26K (0.1802%)       DataObject::getGroupedRecords
1       0.9489ms (1.14%)    36K (0.2496%)       getBody
1       0.7758ms (0.93%)    30K (0.2104%)       HTMLParser::parseHTML
2       0.036ms (0.04%)     4K (0.0244%)        HTMLParser::js
1       0.5171ms (0.62%)    13K (0.0922%)       Resources::get
1       0.4621ms (0.56%)    3K (0.0216%)        Resources::generateFiles
======================================================================
        83.0128ms (100%)    14455K              Whole Execution
